"YEAR","MONTH","DAY_OF_MONTH","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","DEP_TIME","DEP_DELAY","ARR_TIME","ARR_DELAY","CANCELLED",
2017,1,9,"AA","N151AA","463","CLT","PVD","2011",9.00,"2216",18.00,0.00,
2017,1,10,"AA","N153AA","463","CLT","PVD","2007",5.00,"2153",-5.00,0.00,
2017,1,11,"AA","N583AA","463","CLT","PVD","2012",10.00,"2201",3.00,0.00,
2017,1,12,"AA","N174AA","463","CLT","PVD","2019",17.00,"2252",54.00,0.00,
2017,1,13,"AA","N542AA","463","CLT","PVD","2000",-2.00,"2211",13.00,0.00,
2017,1,14,"AA","N567AA","463","CLT","PVD","1958",-4.00,"2159",1.00,0.00,
2017,1,15,"AA","N920AA","463","CLT","PVD","1959",-3.00,"2147",-11.00,0.00,
2017,1,16,"AA","N918AA","463","CLT","PVD","2002",0.00,"2215",17.00,0.00,
2017,1,17,"AA","N169AA","463","CLT","PVD","2008",6.00,"2206",8.00,0.00,
2017,1,18,"AA","N157AA","463","CLT","PVD","1958",-4.00,"2151",-7.00,0.00,
2017,1,19,"AA","N195AA","463","CLT","PVD","1957",-5.00,"2157",-1.00,0.00,
2017,1,20,"AA","N154AA","463","CLT","PVD","1956",-6.00,"2158",0.00,0.00,
2017,1,21,"AA","N172AA","463","CLT","PVD","2001",-1.00,"2149",-9.00,0.00,
2017,1,22,"AA","N162AA","463","CLT","PVD","2009",7.00,"2155",-3.00,0.00,
2017,1,23,"AA","N580AA","463","CLT","PVD","1959",-3.00,"2152",-6.00,0.00,
2017,1,24,"AA","N151AA","463","CLT","PVD","1959",-3.00,"2205",7.00,0.00,
2017,1,25,"AA","N510AA","463","CLT","PVD","1956",-6.00,"2138",-20.00,0.00,
2017,1,26,"AA","N171AA","463","CLT","PVD","2001",-1.00,"2201",3.00,0.00,
2017,1,27,"AA","N546AA","463","CLT","PVD","2010",8.00,"2152",-6.00,0.00,
2017,1,28,"AA","N554AA","463","CLT","PVD","1958",-4.00,"2141",-17.00,0.00,
2017,1,29,"AA","N979AA","463","CLT","PVD","2004",2.00,"2145",-13.00,0.00,
2017,1,30,"AA","N163AA","463","CLT","PVD","2001",-1.00,"2158",0.00,0.00,
2017,1,31,"AA","N152AA","463","CLT","PVD","2003",1.00,"2152",-6.00,0.00,
2017,1,12,"AA","N110AA","2035","PVD","CLT","1932",-1.00,"2138",-11.00,0.00,
2017,1,13,"AA","N104AA","2035","PVD","CLT","1926",-7.00,"2130",-19.00,0.00,
2017,1,19,"AA","N112AA","2035","PVD","CLT","1920",-13.00,"2112",-37.00,0.00,
2017,1,20,"AA","N103AA","2035","PVD","CLT","1923",-10.00,"2130",-19.00,0.00,
2017,1,26,"AA","N103AA","2035","PVD","CLT","1924",-9.00,"2133",-16.00,0.00,
2017,1,27,"AA","N108AA","2035","PVD","CLT","2001",28.00,"2202",13.00,0.00,
2017,1,1,"AA","N118AA","2038","CLT","PVD","2208",-1.00,"2352",-6.00,0.00,
2017,1,2,"AA","N119AA","2038","CLT","PVD","2221",12.00,"0016",18.00,0.00,
2017,1,3,"AA","N108AA","2038","CLT","PVD","2222",13.00,"0001",3.00,0.00,
2017,1,4,"AA","N108AA","2038","CLT","PVD","2217",8.00,"2355",-3.00,0.00,
2017,1,5,"AA","N117AA","2038","CLT","PVD","2214",5.00,"2357",-1.00,0.00,
2017,1,6,"AA","N126AA","2038","CLT","PVD","",,"",,1.00,
2017,1,8,"AA","N924AA","2038","CLT","PVD","2231",22.00,"0020",22.00,0.00,
2017,1,12,"AA","N121AA","2038","CLT","PVD","2202",-8.00,"2353",-4.00,0.00,
2017,1,13,"AA","N122AA","2038","CLT","PVD","2213",3.00,"2359",2.00,0.00,
2017,1,15,"AA","N127AA","2038","CLT","PVD","2208",-2.00,"2353",-4.00,0.00,
2017,1,19,"AA","N121AA","2038","CLT","PVD","2205",-5.00,"2356",-1.00,0.00,
2017,1,20,"AA","N119AA","2038","CLT","PVD","2205",-5.00,"2352",-5.00,0.00,
2017,1,22,"AA","N125AA","2038","CLT","PVD","2209",-1.00,"0004",7.00,0.00,
2017,1,26,"AA","N112AA","2038","CLT","PVD","2216",6.00,"0005",8.00,0.00,
2017,1,27,"AA","N124AA","2038","CLT","PVD","2218",8.00,"0009",12.00,0.00,
2017,1,29,"AA","N119AA","2038","CLT","PVD","2210",0.00,"2358",1.00,0.00,
2017,1,1,"AA","N827AA","2044","PVD","CLT","1106",-4.00,"1323",-10.00,0.00,
2017,1,2,"AA","N770AA","2044","PVD","CLT","1105",-5.00,"1326",-7.00,0.00,
2017,1,3,"AA","N712AA","2044","PVD","CLT","1100",-10.00,"1313",-20.00,0.00,
2017,1,4,"AA","N711AA","2044","PVD","CLT","1101",-9.00,"1316",-17.00,0.00,
2017,1,5,"AA","N709AA","2044","PVD","CLT","1100",-10.00,"1312",-21.00,0.00,
2017,1,6,"AA","N712AA","2044","PVD","CLT","1102",-8.00,"1334",1.00,0.00,
2017,1,8,"AA","N738AA","2044","PVD","CLT","1104",-6.00,"1306",-27.00,0.00,
